# id	scheme	style	konsole	icons	gtkCss	cursor	decoration	wallpaper	wallpaperBranch	mode	displayName	family	accent	surfaceTreatment	qtWidgetStyle	gtkTheme
org.moos.ui2	MoOSUI2Dark	MoOSUI2	MoOSUI2.profile	MoOSUI2	moos-ui2-dark.css	MoOS	MoOSUI2	MoOSUI2Graphite	images_dark	dark	MoOS Graphite	graphite	#55E6D2	graphite-frost	Breeze	Breeze
org.moos.ui2.light	MoOSUI2Light	MoOSUI2Light	MoOSUI2Light.profile	MoOSUI2Light	moos-ui2-light.css	MoOSDark	MoOSUI2Light	MoOSUI2Tide	images	light	MoOS Tidal	graphite	#087F78	tidal-frost	Breeze	Breeze
org.moos.ui2.nova	MoOSUI2Nova	MoOSUI2Nova	MoOSUI2Nova.profile	MoOSUI2Nova	moos-ui2-nova.css	MoOS	MoOSUI2Nova	MoOSUI2Nova	images_dark	dark	MoOS Nova	nova	#6366F1	cosmic-frost	Breeze	Breeze
org.moos.ui2.nova.light	MoOSUI2NovaLight	MoOSUI2NovaLight	MoOSUI2NovaLight.profile	MoOSUI2NovaLight	moos-ui2-nova-light.css	MoOSDark	MoOSUI2NovaLight	MoOSUI2NovaLight	images	light	MoOS Nova Light	nova	#4F46E5	cosmic-frost	Breeze	Breeze
org.moos.ui2.amethyst	MoOSUI2Amethyst	MoOSUI2Amethyst	MoOSUI2Amethyst.profile	MoOSUI2Amethyst	moos-ui2-amethyst.css	MoOS	MoOSUI2Amethyst	MoOSUI2Amethyst	images_dark	dark	MoOS Amethyst	amethyst	#C084FC	warm-frost	Breeze	Breeze
org.moos.ui2.amethyst.light	MoOSUI2AmethystLight	MoOSUI2AmethystLight	MoOSUI2AmethystLight.profile	MoOSUI2AmethystLight	moos-ui2-amethyst-light.css	MoOSDark	MoOSUI2AmethystLight	MoOSUI2AmethystLight	images	light	MoOS Amethyst Light	amethyst	#9333EA	warm-frost	Breeze	Breeze
org.moos.ui2.midnight	MoOSUI2Midnight	MoOSUI2Midnight	MoOSUI2Midnight.profile	MoOSUI2Midnight	moos-ui2-midnight.css	MoOS	MoOSUI2Midnight	MoOSUI2Midnight	images_dark	dark	MoOS Midnight	midnight	#22D3EE	oled-glass	Breeze	Breeze
org.moos.ui2.midnight.light	MoOSUI2Daylight	MoOSUI2Daylight	MoOSUI2Daylight.profile	MoOSUI2Daylight	moos-ui2-daylight.css	MoOSDark	MoOSUI2Daylight	MoOSUI2Daylight	images	light	MoOS Daylight	midnight	#0891B2	daylight-frost	Breeze	Breeze
org.moos.ui2.aurora	MoOSUI2Aurora	MoOSUI2Aurora	MoOSUI2Aurora.profile	MoOSUI2Aurora	moos-ui2-aurora.css	MoOS	MoOSUI2Aurora	MoOSUI2Aurora	images_dark	dark	MoOS Aurora	aurora	#3B82F6	northern-frost	Breeze	Breeze
org.moos.ui2.aurora.light	MoOSUI2AuroraLight	MoOSUI2AuroraLight	MoOSUI2AuroraLight.profile	MoOSUI2AuroraLight	moos-ui2-aurora-light.css	MoOSDark	MoOSUI2AuroraLight	MoOSUI2AuroraLight	images	light	MoOS Aurora Light	aurora	#2563EB	northern-frost	Breeze	Breeze
org.moos.ui2.gaming	MoOSUI2Arena	MoOSUI2Arena	MoOSUI2Arena.profile	MoOSUI2Arena	moos-ui2-gaming.css	MoOS	MoOSUI2Arena	MoOSUI2Arena	images_dark	dark	MoOS Arena	gaming	#FF2D95	arena-glow	Breeze	Breeze
org.moos.ui2.gaming.light	MoOSUI2ArenaLight	MoOSUI2ArenaLight	MoOSUI2ArenaLight.profile	MoOSUI2ArenaLight	moos-ui2-gaming-light.css	MoOSDark	MoOSUI2ArenaLight	MoOSUI2ArenaLight	images	light	MoOS Arena Light	gaming	#DB2777	arena-glow	Breeze	Breeze
org.moos.ui2.dev	MoOSUI2Forge	MoOSUI2Forge	MoOSUI2Forge.profile	MoOSUI2Forge	moos-ui2-dev.css	MoOS	MoOSUI2Forge	MoOSUI2Forge	images_dark	dark	MoOS Forge	dev	#3FB950	focus-frost	Breeze	Breeze
org.moos.ui2.dev.light	MoOSUI2ForgeLight	MoOSUI2ForgeLight	MoOSUI2ForgeLight.profile	MoOSUI2ForgeLight	moos-ui2-dev-light.css	MoOSDark	MoOSUI2ForgeLight	MoOSUI2ForgeLight	images	light	MoOS Forge Light	dev	#16803A	focus-frost	Breeze	Breeze
org.moos.ui2.study	MoOSUI2Scholar	MoOSUI2Scholar	MoOSUI2Scholar.profile	MoOSUI2Scholar	moos-ui2-study.css	MoOS	MoOSUI2Scholar	MoOSUI2Scholar	images_dark	dark	MoOS Scholar	study	#E0A458	reading-frost	Breeze	Breeze
org.moos.ui2.study.light	MoOSUI2ScholarLight	MoOSUI2ScholarLight	MoOSUI2ScholarLight.profile	MoOSUI2ScholarLight	moos-ui2-study-light.css	MoOSDark	MoOSUI2ScholarLight	MoOSUI2ScholarLight	images	light	MoOS Scholar Light	study	#A16207	reading-frost	Breeze	Breeze
